importing BLAga
Mismatch at C[298,0]: ngsolve=362.98602160363737, BLAga=9.2e-322
Mismatch at C[299,0]: ngsolve=363.8524858451836, BLAga=9.3e-322
Mismatch at C[300,0]: ngsolve=368.87203282330773, BLAga=9.4e-322
Mismatch at C[301,0]: ngsolve=371.300964860455, BLAga=9.93e-322
Mismatch at C[302,0]: ngsolve=357.03565496165794, BLAga=9.3e-322
Mismatch at C[303,0]: ngsolve=359.6869971033567, BLAga=9.4e-322
Mismatch at C[304,0]: ngsolve=364.36349358741074, BLAga=8.6e-322
Mismatch at C[305,0]: ngsolve=365.4452834698614, BLAga=8.45e-322
Mismatch at C[306,0]: ngsolve=360.0173686089573, BLAga=8e-322
Mismatch at C[307,0]: ngsolve=368.2238850258063, BLAga=8.84e-322
Mismatch at C[308,0]: ngsolve=357.8733352352739, BLAga=8.1e-322
Mismatch at C[309,0]: ngsolve=363.75977348428427, BLAga=8.45e-322
Mismatch at C[310,0]: ngsolve=348.77309173031307, BLAga=8.35e-322
Mismatch at C[311,0]: ngsolve=370.91267720255127, BLAga=8.94e-322
Mismatch at C[312,0]: ngsolve=364.1079842215496, BLAga=9.2e-322
Mismatch at C[313,0]: ngsolve=355.90119636413965, BLAga=8.05e-322
Mismatch at C[314,0]: ngsolve=356.7831452994534, BLAga=8.15e-322
Mismatch at C[315,0]: ngsolve=353.7085304806038, BLAga=8.9e-322
Mismatch at C[316,0]: ngsolve=359.98141878025217, BLAga=9.04e-322
Mismatch at C[317,0]: ngsolve=363.5423674879938, BLAga=8.45e-322
Mismatch at C[318,0]: ngsolve=357.6855309719779, BLAga=8.9e-322
Mismatch at C[319,0]: ngsolve=365.4477698606013, BLAga=8.74e-322
Mismatch at C[320,0]: ngsolve=357.39856005696504, BLAga=8.2e-322
Mismatch at C[321,0]: ngsolve=363.87672732517484, BLAga=9.3e-322
Mismatch at C[322,0]: ngsolve=358.1579124063578, BLAga=9.14e-322
Mismatch at C[323,0]: ngsolve=367.50957157032053, BLAga=9.04e-322
Mismatch at C[324,0]: ngsolve=367.8363162692171, BLAga=1.013e-321
Mismatch at C[325,0]: ngsolve=361.45208939038133, BLAga=8.4e-322
